Load,cof
319.7096603,1.335217965
321.9189973,1.335041543
324.1283342,1.334865121
326.3233557,1.331450102
329.9912685,1.327917468
330.7277142,1.327858661
332.9370511,1.327682239
334.4099423,1.327564625
335.8828336,1.32744701
336.6192792,1.327388203
339.5793771,1.330391572
340.3158228,1.330332765
341.7887141,1.33021515
341.7887141,1.33021515
342.5251597,1.330156343
342.5251597,1.330156343
344.7344966,1.329979922
345.4566269,1.326682517
348.4024094,1.326447288
350.6117463,1.326270866
353.5432135,1.322797039
357.2111263,1.319264406
359.4204632,1.319087984
359.4204632,1.319087984
359.4061479,1.315849386
360.8647238,1.312493174
362.3376151,1.31237556
364.546952,1.312199138
367.4927345,1.311963909
367.4927345,1.311963909
369.6877561,1.30854889
371.897093,1.308372468
373.3556689,1.305016256
